id ra dec mag_F160W weight logmass z_phot z_spec
17000 150.11555120295176 2.3537070009366734 22.751865637630367 71 11.171878404405147 3.145280428133369 3.208
17517 150.09446324616317 2.3582214366916006 23.049672623837328 5 10.057378950433352 2.515793668676154 2.462
17534 150.0967255983998 2.3577172984222483 24.950932077509034 8 10.179955332398192 2.5672451441323507 2.098
17555 150.1346839947743 2.3579765491078972 24.651440543168835 3 9.57581130023067 2.388135385267784 2.465879
17669 150.09493439481517 2.359267916620866 23.914853430765692 12 10.338562593715796 2.3821620802722956 2.467
17713 150.12901138237277 2.3597954916322577 23.876192155750257 12 10.55774681109576 2.1265980326584715 nan
17793 150.13779188895109 2.360996797174717 23.298612593645277 7 10.0334483834837 3.0653279666716924 2.985
17842 150.09685526232516 2.36080842648666 24.427025781719816 13 10.344232502455773 3.0885088982228175 3.232
17906 150.12949331746438 2.3617019790503764 24.142912338178352 6 9.986853992092358 3.0037957864585434 2.988
17916 150.1034614299981 2.361506762848726 24.419648380042464 14 10.468402417896128 2.5420800363936062 2.288
17954 150.131687153171 2.361805346284793 25.644966054952597 7 9.676046133100645 3.4064607018091086 3.52
17984 150.10196203069077 2.3620798969709513 25.765777578814404 3 9.380055178686998 2.1742707237874654 nan
18071 150.13526788785248 2.3636122217215005 23.122685818926808 13 10.369202995796208 2.769466002936455 2.82
18094 150.10362529716298 2.363385448366796 23.937998380366754 11 10.328718053016498 2.2608295296521126 2.554
18139 150.10490222969 2.3637633481608935 24.20353643207959 6 10.487324023187103 1.8270371087602602 2.13
18252 150.09850706985623 2.3653593006780684 23.276696768163795 44 11.038937124448669 2.5797841026756325 2.552
18327 150.11059234804085 2.3656996249072226 24.723230343189208 2 9.411610573960527 2.4660415604884327 2.095
18332 150.14275734049033 2.3673817304916525 22.143073995504345 8 10.220140424418277 2.2403776992296818 2.195
18651 150.1280348311198 2.369448443018312 23.789854310080614 30 10.884322188742678 2.5029791573143347 2.467
18653 150.1401912 2.3688509 25.321929003192174 4 9.458120788151293 2.967051417609512 2.961
18668 150.12927187141378 2.3695637087012607 22.9074648243471 10 10.870187865880673 1.9847254131325553 2.085
18688 150.1335019027621 2.3704075526024617 21.829603288166204 24 11.181078802882563 2.0589506150362484 2.007
18733 150.13108996658335 2.3700625468978482 23.47239387328353 7 10.048228459771392 2.2921486798761688 2.1
18769 150.14496514061557 2.3699510049756656 25.265687532732738 1 8.92066449823969 1.70789785559708 1.766
18839 150.12647032513954 2.371238748682477 23.939141258538015 4 9.96001670858117 2.5766809350668374 2.462
18943 150.13823243193744 2.3715022168612685 25.70754689542912 3 9.834975534426803 2.7705531633134717 3.160504
18968 150.13748242045114 2.371772859782838 26.101776098781368 10 9.427947252008591 3.1815325527202103 3.713
18977 150.14649699348462 2.372307507974549 22.991544157970267 8 10.603861495601773 2.0180744319564377 2.085
19024 150.14695214516397 2.3722627882831984 25.21209938112107 2 9.301968102958163 2.52847933788335 2.464
